654	2014.06.16	12:28:21.443	7	1683	0065-0136665886	
659	2014.06.16	12:28:25.319	5	407	0065-0136671473	
661	2014.06.16	12:28:25.776	6	2094	0065-0136671473	
662	2014.06.16	12:28:28.619	6	527	0065-0136655780	
664	2014.06.16	12:28:29.218	5	815	0065-0136655780	
665	2014.06.16	12:28:29.912	7	311	0065-0136671473	
667	2014.06.16	12:28:30.240	8	605	0065-0136671473	
669	2014.06.16	12:28:31.622	7	505	0065-0136651817	
670	2014.06.16	12:28:31.693	5	443	0065-0136673193	
672	2014.06.16	12:28:32.629	7	412	0065-0136665886	
674	2014.06.16	12:28:32.437	6	2387	0065-0136673193	
675	2014.06.16	12:28:33.211	8	1646	0065-0136665886	
680	2014.06.16	12:28:41.820	5	679	0065-0136670531	
683	2014.06.16	12:28:43.204	6	2572	0065-0136670531	
684	2014.06.16	12:28:46.182	5	470	0065-0136660676	
685	2014.06.16	12:28:46.718	6	1488	0065-0136660676	
686	2014.06.16	12:28:48.658	5	426	0065-0136661759	
687	2014.06.16	12:28:49.152	7	368	0065-0136670531	
688	2014.06.16	12:28:49.162	6	1105	0065-0136661759	
690	2014.06.16	12:28:49.552	8	1405	0065-0136670531	
691	2014.06.16	12:28:51.885	7	408	0065-0136660676	
692	2014.06.16	12:28:52.411	8	1220	0065-0136660676	
697	2014.06.16	12:28:56.455	7	504	0065-0136673193	
699	2014.06.16	12:28:57.842	5	314	0065-0136651817	
702	2014.06.16	12:28:58.484	7	515	0065-0136661759	
703	2014.06.16	12:28:57.076	8	3066	0065-0136673193	
704	2014.06.16	12:28:58.299	6	2608	0065-0136651817	
706	2014.06.16	12:29:05.516	7	427	0065-0136651817	
707	2014.06.16	12:29:07.491	8	515	0065-0136659288	
708	2014.06.16	12:29:08.089	7	1683	0065-0136659288	
710	2014.06.16	12:29:10.104	6	1094	0065-0136651817	
711	2014.06.16	12:29:11.213	5	1361	0065-0136651817	
714	2014.06.16	12:29:15.158	8	551	0065-0136667521	
720	2014.06.16	12:29:15.759	7	3457	0065-0136667521	
722	2014.06.16	12:29:31.051	7	507	0065-0136659288	
723	2014.06.16	12:29:31.643	8	2518	0065-0136659288	
725	2014.06.16	12:29:34.870	8	405	0065-0136655780	
727	2014.06.16	12:29:35.431	7	4557	0065-0136655780	
728	2014.06.16	12:29:41.112	6	515	0065-0136655780	
730	2014.06.16	12:29:41.740	5	6915	0065-0136655780	
734	2014.06.16	12:29:50.936	6	935	0065-0136661759	
736	2014.06.16	12:29:52.027	5	641	0065-0136661759	
737	2014.06.16	12:29:56.692	5	406	0065-0136661759	
738	2014.06.16	12:29:57.119	6	804	0065-0136661759	
739	2014.06.16	12:29:58.656	5	312	0065-0136655780	
743	2014.06.16	12:30:01.127	7	218	0065-0136661759	
744	2014.06.16	12:29:59.051	6	2866	0065-0136655780	
746	2014.06.16	12:30:03.880	8	505	0065-0136665886	
747	2014.06.16	12:30:03.763	7	1134	0065-0136655780	
748	2014.06.16	12:30:04.275	6	813	0065-0136667521	
749	2014.06.16	12:30:04.934	8	212	0065-0136665886	
750	2014.06.16	12:30:05.445	8	1188	0065-0136655780	
751	2014.06.16	12:30:05.872	7	1282	0065-0136665886	
752	2014.06.16	12:30:05.189	5	3572	0065-0136667521	
756	2014.06.16	12:30:10.107	7	410	0065-0136665886	
758	2014.06.16	12:30:10.605	8	701	0065-0136665886	
760	2014.06.16	12:30:14.583	8	404	0065-0136651817	
763	2014.06.16	12:30:15.013	7	1102	0065-0136651817	
778	2014.06.16	12:30:26.674	8	403	0065-0136665886	
780	2014.06.16	12:30:27.062	7	709	0065-0136665886	
782	2014.06.16	12:30:28.869	7	315	0065-0136665886	
787	2014.06.16	12:30:26.160	6	7864	0065-0136653169	
792	2014.06.16	12:30:35.090	6	1817	0065-0136665886	
793	2014.06.16	12:30:36.991	6	1370	0065-0136665886	
796	2014.06.16	12:30:38.591	5	2203	0065-0136653169	
802	2014.06.16	12:30:41.067	5	3365	0065-0136665886	
803	2014.06.16	12:30:44.768	7	407	0065-0136651817	
804	2014.06.16	12:30:45.381	5	1393	0065-0136659459	
806	2014.06.16	12:30:46.656	6	800	0065-0136653169	
807	2014.06.16	12:30:45.285	8	2291	0065-0136651817	
811	2014.06.16	12:30:47.486	6	2990	0065-0136659459	
814	2014.06.16	12:30:51.656	6	417	0065-0136661759	
815	2014.06.16	12:30:52.153	8	696	0065-0136671473	
816	2014.06.16	12:30:52.138	5	948	0065-0136661759	
817	2014.06.16	12:30:52.984	8	317	0065-0136660676	
818	2014.06.16	12:30:53.351	5	217	0065-0136661759	
821	2014.06.16	12:30:53.845	7	2281	0065-0136660676	
822	2014.06.16	12:30:57.310	6	601	0065-0136671473	
828	2014.06.16	12:30:58.128	5	3553	0065-0136671473	
832	2014.06.16	12:31:07.876	7	530	0065-0136659459	
833	2014.06.16	12:31:08.547	7	323	0065-0136660676	
835	2014.06.16	12:31:08.511	8	905	0065-0136659459	
839	2014.06.16	12:31:09.470	8	2677	0065-0136660676	
842	2014.06.16	12:31:16.290	8	434	0065-0136660676	
843	2014.06.16	12:31:18.814	8	419	0065-0136665886	
845	2014.06.16	12:31:19.237	7	1038	0065-0136665886	
846	2014.06.16	12:31:20.906	6	714	0065-0136660676	
848	2014.06.16	12:31:21.754	5	2987	0065-0136660676	
851	2014.06.16	12:31:25.410	6	533	0065-0136665886	
852	2014.06.16	12:31:25.971	5	785	0065-0136665886	
863	2014.06.16	12:31:39.645	5	228	0065-0136661759	
868	2014.06.16	12:31:45.300	8	219	0065-0136655780	
872	2014.06.16	12:31:45.621	7	1102	0065-0136655780	
873	2014.06.16	12:31:46.785	5	326	0065-0136661759	
876	2014.06.16	12:31:48.670	8	307	0065-0136665886	
877	2014.06.16	12:31:49.025	7	1209	0065-0136665886	
879	2014.06.16	12:31:50.431	7	840	0065-0136665886	
881	2014.06.16	12:31:51.853	7	541	0065-0136665886	
882	2014.06.16	12:31:53.595	7	227	0065-0136665886	
883	2014.06.16	12:31:57.377	5	419	0065-0136659288	
884	2014.06.16	12:31:58.270	6	1695	0065-0136659288	
886	2014.06.16	12:32:02.136	6	510	0065-0136665886	
887	2014.06.16	12:32:02.759	5	718	0065-0136665886	
889	2014.06.16	12:32:03.510	5	227	0065-0136665886	
891	2014.06.16	12:32:05.548	7	503	0065-0136659288	
894	2014.06.16	12:32:06.146	8	3401	0065-0136659288	
896	2014.06.16	12:32:10.118	7	597	0065-0136655780	
897	2014.06.16	12:32:10.842	8	2090	0065-0136655780	
898	2014.06.16	12:32:13.510	8	622	0065-0136651817	
902	2014.06.16	12:32:14.162	7	1401	0065-0136651817	
903	2014.06.16	12:32:16.335	7	1003	0065-0136651817	
914	2014.06.16	12:32:31.035	6	1444	0065-0136651817	
916	2014.06.16	12:32:32.743	8	608	0065-0136673193	
920	2014.06.16	12:32:32.647	5	3276	0065-0136651817	
921	2014.06.16	12:32:33.354	7	2928	0065-0136673193	
925	2014.06.16	12:32:36.656	5	604	0065-0136671473	
927	2014.06.16	12:32:38.334	5	211	0065-0136651817	
928	2014.06.16	12:32:37.408	6	1336	0065-0136671473	
930	2014.06.16	12:32:38.782	6	804	0065-0136651817	
932	2014.06.16	12:32:39.613	6	378	0065-0136651817	
934	2014.06.16	12:32:39.883	5	409	0065-0136659288	
935	2014.06.16	12:32:39.308	8	994	0065-0136670531	
941	2014.06.16	12:32:40.411	6	2870	0065-0136659288	
947	2014.06.16	12:32:41.376	7	5814	0065-0136670531	
949	2014.06.16	12:32:50.437	7	414	0065-0136673193	
950	2014.06.16	12:32:50.602	8	3038	0065-0136661759	
954	2014.06.16	12:32:53.669	8	1781	0065-0136673193	
955	2014.06.16	12:32:54.177	7	1293	0065-0136651817	
956	2014.06.16	12:32:55.490	8	1293	0065-0136659288	
957	2014.06.16	12:32:56.895	8	707	0065-0136651817	
960	2014.06.16	12:32:58.828	8	653	0065-0136659459	
962	2014.06.16	12:32:58.858	7	2768	0065-0136671473	
964	2014.06.16	12:33:01.943	8	910	0065-0136671473	
966	2014.06.16	12:33:02.022	7	2864	0065-0136659459	
971	2014.06.16	12:33:11.017	8	336	0065-0136655780	
972	2014.06.16	12:33:10.365	6	1504	0065-0136653169	
973	2014.06.16	12:33:11.387	7	3399	0065-0136655780	
974	2014.06.16	12:33:15.589	7	411	0065-0136659459	
975	2014.06.16	12:33:18.912	6	533	0065-0136655780	
976	2014.06.16	12:33:16.048	8	4102	0065-0136659459	
978	2014.06.16	12:33:22.454	8	412	0065-0136659288	
979	2014.06.16	12:33:21.771	6	1793	0065-0136655780	
981	2014.06.16	12:33:24.978	8	504	0065-0136667521	
983	2014.06.16	12:33:24.104	6	3061	0065-0136655780	
985	2014.06.16	12:33:25.785	7	2774	0065-0136667521	
986	2014.06.16	12:33:29.093	7	507	0065-0136670531	
988	2014.06.16	12:33:29.658	8	2373	0065-0136670531	
990	2014.06.16	12:33:13.061	5	20269	0065-0136653169	
994	2014.06.16	12:33:35.533	7	547	0065-0136655780	
996	2014.06.16	12:33:36.731	7	720	0065-0136659288	
997	2014.06.16	12:33:36.160	8	1399	0065-0136655780	
998	2014.06.16	12:33:37.581	8	1430	0065-0136659288	
1000	2014.06.16	12:33:40.095	6	416	0065-0136667521	
1004	2014.06.16	12:33:40.617	5	4261	0065-0136667521	
1007	2014.06.16	12:33:48.476	8	313	0065-0136661759	
1009	2014.06.16	12:33:48.877	7	1193	0065-0136661759	
1015	2014.06.16	12:33:52.458	6	720	0065-0136661759	
1016	2014.06.16	12:33:53.172	5	706	0065-0136661759	
1017	2014.06.16	12:33:57.710	8	224	0065-0136660676	
1018	2014.06.16	12:33:58.034	7	932	0065-0136660676	
1022	2014.06.16	12:34:03.236	8	436	0065-0136671473	
1024	2014.06.16	12:34:03.770	7	1398	0065-0136671473	
1027	2014.06.16	12:34:07.421	5	310	0065-0136661759	
1028	2014.06.16	12:34:07.746	6	454	0065-0136661759	
1029	2014.06.16	12:34:10.494	6	421	0065-0136671473	
1030	2014.06.16	12:34:10.983	5	1301	0065-0136671473	
1040	2014.06.16	12:34:17.869	8	404	0065-0136673193	
1043	2014.06.16	12:34:19.338	5	418	0065-0136659459	
1044	2014.06.16	12:34:18.328	7	2130	0065-0136673193	
